أهلا	Hello
The step requires authorization	الخطوة تحتاج إلى صلاحية
الخطوة تحتاج إلى تأكيد	The step needs to be confirmed
The step needs to be confirmed	الخطوة تحتاج إلى تأكيد
تم توفير المتطلبات	Requirements provided
Requirements provided	تم توفير المتطلبات
لم يتم توفير المتطلبات	Requirements not provided
Requirements not provided	لم يتم توفير المتطلبات
تحقق من المتطلبات	Check requirements
Check requirements	تحقق من المتطلبات
المتطلبات جاهزة	The requirements are ready
The requirements are ready	المتطلبات جاهزة
المتطلبات غير جاهزة	Requirements not ready
Requirements not ready	المتطلبات غير جاهزة
ابدأ بعد اكتمال المتطلبات	Start after requirements are complete
Start after requirements are complete	ابدأ بعد اكتمال المتطلبات
لا يمكن البدء قبل اكتمال المتطلبات	Cannot start until requirements are complete
Cannot start until requirements are complete	لا يمكن البدء قبل اكتمال المتطلبات
تمت الموافقة	Approved
Approved	تمت الموافقة
تم رفض الطلب	The request was rejected
The request was rejected	تم رفض الطلب
الطلب قيد الانتظار	The request is waiting
The request is waiting	الطلب قيد الانتظار
الطلب قيد المعالجة	The request is being processed
The request is being processed	الطلب قيد المعالجة
الطلب اكتمل	The request is complete
The request is complete	الطلب اكتمل
الطلب فشل	The request failed
The request failed	الطلب فشل
إرسال الطلب	Send the request
Send the request	إرسال الطلب
إلغاء الطلب	Cancel the order
Cancel the order	إلغاء الطلب
إعادة إرسال الطلب	Resend the request
Resend the request	إعادة إرسال الطلب
تم إرسال الطلب	The request has been sent
The request has been sent	تم إرسال الطلب
تعذر إرسال الطلب	The request could not be sent
The request could not be sent	تعذر إرسال الطلب
تم استقبال الطلب	The request has been received
The request has been received	تم استقبال الطلب
تعذر استقبال الطلب	The request could not be received
The request could not be received	تعذر استقبال الطلب
لا يوجد طلب جديد	There is no new request
There is no new request	لا يوجد طلب جديد
يوجد طلب جديد	There is a new request
There is a new request	يوجد طلب جديد
تحقق من الطلبات	Check orders
Check orders	تحقق من الطلبات
عرض الطلب	Display the request
Display the request	عرض الطلب
إخفاء الطلب	Hide the request
Hide the request	إخفاء الطلب
اقبل الطلب	Accept the request
Accept the request	اقبل الطلب
ارفض الطلب	Reject the request
Reject the request	ارفض الطلب
تم قبول الطلب	The request has been accepted
The request has been accepted	تم قبول الطلب
تم رفض الطلب	The request was rejected
The request was rejected	تم رفض الطلب
الطلب غير صالح	The request is invalid
The request is invalid	الطلب غير صالح
الطلب صالح	The request is valid
The request is valid	الطلب صالح
الطلب مكرر	The request is duplicate
The request is duplicate	الطلب مكرر
تم تجاهل الطلب المكرر	The duplicate request was ignored
The duplicate request was ignored	تم تجاهل الطلب المكرر
لا ترسل الطلب أكثر من مرة	Do not send the request more than once
Do not send the request more than once	لا ترسل الطلب أكثر من مرة
انتظر الرد على الطلب	Wait for a response to the request
Wait for a response to the request	انتظر الرد على الطلب
تم الرد على الطلب	The request has been answered
The request has been answered	تم الرد على الطلب
الرد جاهز	The response is ready
The response is ready	الرد جاهز
لا يوجد رد	No response
No response	لا يوجد رد
أعد إرسال الطلب لاحقاً	Resubmit the request later
Resubmit the request later	أعد إرسال الطلب لاحقاً
المعلومات متوفرة	Information is available
Information is available	المعلومات متوفرة
المعلومات ناقصة	Information is incomplete
Information is incomplete	المعلومات ناقصة
المعلومات غير صحيحة	The information is incorrect
The information is incorrect	المعلومات غير صحيحة
المعلومات محدثة	The information is up to date
The information is up to date	المعلومات محدثة
المعلومات قديمة	The information is outdated
The information is outdated	المعلومات قديمة
حدّث المعلومات	Update the information
Update the information	حدّث المعلومات
تم تحديث المعلومات	Information has been updated
Information has been updated	تم تحديث المعلومات
تعذر تحديث المعلومات	The information could not be updated
The information could not be updated	تعذر تحديث المعلومات
اعرض المعلومات	Show information
Show information	اعرض المعلومات
أخف المعلومات	Hide information
Hide information	أخف المعلومات
معلومات اللعبة	Game information
Game information	معلومات اللعبة
معلومات الملف	File information
File information	معلومات الملف
معلومات المجلد	Folder information
Folder information	معلومات المجلد
معلومات الترجمة	Translation information
Translation information	معلومات الترجمة
معلومات الحزمة	Package information
Package information	معلومات الحزمة
معلومات الإصدار	Version information
Version information	معلومات الإصدار
معلومات التحديث	Update information
Update information	معلومات التحديث
معلومات النظام	System information
System information	معلومات النظام
معلومات التخزين	Storage information
Storage information	معلومات التخزين
معلومات الاتصال	Contact information
Contact information	معلومات الاتصال
معلومات المهمة	Mission information
Mission information	معلومات المهمة
معلومات الهدف	Target information
Target information	معلومات الهدف
معلومات اللاعب	Player information
Player information	معلومات اللاعب
معلومات المركبة	Vehicle information
Vehicle information	معلومات المركبة
معلومات الشخصية	Personal information
Personal information	معلومات الشخصية
لا توجد معلومات إضافية	There is no additional information
There is no additional information	لا توجد معلومات إضافية
هناك معلومات جديدة	There is new information
There is new information	هناك معلومات جديدة
تمت إضافة معلومات جديدة	New information added
New information added	تمت إضافة معلومات جديدة
احفظ المعلومات	Save the information
Save the information	احفظ المعلومات
تم حفظ المعلومات	The information has been saved
The information has been saved	تم حفظ المعلومات
احذف المعلومات	Delete the information
Delete the information	احذف المعلومات
تم حذف المعلومات	Information deleted
Information deleted	تم حذف المعلومات
لا تحذف المعلومات المهمة	Do not delete important information
Do not delete important information	لا تحذف المعلومات المهمة
المعلومات محفوظة	The information is saved
The information is saved	المعلومات محفوظة
المعلومات غير محفوظة	The information is not saved
The information is not saved	المعلومات غير محفوظة
استعد المعلومات	Recover information
Recover information	استعد المعلومات
تمت استعادة المعلومات	The information has been restored
The information has been restored	تمت استعادة المعلومات
تعذر استعادة المعلومات	The information could not be retrieved
The information could not be retrieved	تعذر استعادة المعلومات
راجع المعلومات قبل المتابعة	Review the information before continuing
Review the information before continuing	راجع المعلومات قبل المتابعة
المعلومات ضرورية	Information is necessary
Information is necessary	المعلومات ضرورية
المعلومات اختيارية	The information is optional
The information is optional	المعلومات اختيارية
لا توجد معلومات كافية	There is not enough information
There is not enough information	لا توجد معلومات كافية
أدخل المعلومات المطلوبة	Enter the required information
Enter the required information	أدخل المعلومات المطلوبة
تم إدخال المعلومات	Information has been entered
Information has been entered	تم إدخال المعلومات
تعذر إدخال المعلومات	Unable to enter information
Unable to enter information	تعذر إدخال المعلومات
المعلومات غير مكتملة	The information is incomplete
The information is incomplete	المعلومات غير مكتملة
أكمل المعلومات	Complete the information
Complete the information	أكمل المعلومات
استخدم المعلومات الحالية	Use current information
Use current information	استخدم المعلومات الحالية
حدّث المعلومات الحالية	Update current information
Update current information	حدّث المعلومات الحالية
استبدل المعلومات الحالية	Replace existing information
Replace existing information	استبدل المعلومات الحالية
تم استبدال المعلومات	Information has been replaced
Information has been replaced	تم استبدال المعلومات
لا تستبدل المعلومات الأصلية	Do not replace the original information
Do not replace the original information	لا تستبدل المعلومات الأصلية
احتفظ بالمعلومات الأصلية	Keep the original information
Keep the original information	احتفظ بالمعلومات الأصلية
تم الحفاظ على المعلومات الأصلية	The original information has been preserved
The original information has been preserved	تم الحفاظ على المعلومات الأصلية
ابدأ الآن	Start now
Start now	ابدأ الآن
توقف قليلاً	Pause for a moment
Pause for a moment	توقف قليلاً
انتظر هنا	Wait here
Wait here	انتظر هنا
تعال معي	Come with me
Come with me	تعال معي
اذهب هناك	Go there
Go there	اذهب هناك
ارجع إلى الخلف	Go back
Go back	ارجع إلى الخلف
تحرك إلى الأمام	Move forward
Move forward	تحرك إلى الأمام
اقترب مني	Come closer to me
Come closer to me	اقترب مني
ابتعد عني	Stay away from me
Stay away from me	ابتعد عني
ابق هنا	Stay here
Stay here	ابق هنا
ابق قريباً	Stay close
Stay close	ابق قريباً
ابق بعيداً	Stay away
Stay away	ابق بعيداً
لا تتحرك	Don't move
Don't move	لا تتحرك
تحرك بسرعة	Move quickly
Move quickly	تحرك بسرعة
تحرك ببطء	Move slowly
Move slowly	تحرك ببطء
افتح هذا	Open this
Open this	افتح هذا
أغلق هذا	Close this
Close this	أغلق هذا
خذ هذا	Take this
Take this	خذ هذا
اترك هذا	Leave this
Leave this	اترك هذا
ضع هذا هنا	Put this here
Put this here	ضع هذا هنا
ضعه هناك	Put it there
Put it there	ضعه هناك
ارفعه	Raise it
Raise it	ارفعه
اخفضه	Lower it
Lower it	اخفضه
حركه	Move it
Move it	حركه
أمسكه	Hold him
Hold him	أمسكه
اتركه	Leave it
Leave it	اتركه
احمله	Carry it
Carry it	احمله
ضعه جانباً	Put it aside
Put it aside	ضعه جانباً
انظر هنا	See here
See here	انظر هنا
انظر هناك	Look there
Look there	انظر هناك
انظر جيداً	Look carefully
Look carefully	انظر جيداً
استمع إلي	Listen to me
Listen to me	استمع إلي
اسمع هذا	Listen to this
Listen to this	اسمع هذا
انتبه جيداً	Pay close attention
Pay close attention	انتبه جيداً
لا تنس ذلك	Don't forget that
Don't forget that	لا تنس ذلك
تذكر هذا	Remember this
Remember this	تذكر هذا
تذكر ما حدث	Remember what happened
Remember what happened	تذكر ما حدث
لا تفعل ذلك	Don't do that
Don't do that	لا تفعل ذلك
لا تفعل هذا	Don't do this
Don't do this	لا تفعل هذا
افعل ما أقول	Do as I say
Do as I say	افعل ما أقول
افعل ما تريد	Do whatever you want
Do whatever you want	افعل ما تريد
اختر ما يناسبك	Choose what suits you
Choose what suits you	اختر ما يناسبك
اختر واحداً	Choose one
Choose one	اختر واحداً
اختر خياراً	Choose an option
Choose an option	اختر خياراً
اختر الإجابة	Choose the answer
Choose the answer	اختر الإجابة
اختر الطريق	Choose the route
Choose the route	اختر الطريق
اختر المكان	Choose the location
Choose the location	اختر المكان
اختر الوقت	Choose the time
Choose the time	اختر الوقت
اختر اللغة	Select the language
Select the language	اختر اللغة
اختر الملف	Select the file
Select the file	اختر الملف
اختر المجلد	Select the folder
Select the folder	اختر المجلد
اختر العنصر	Select the item
Select the item	اختر العنصر
اختر الشخصية	Choose the character
Choose the character	اختر الشخصية
اختر اللعبة	Select the game
Select the game	اختر اللعبة
اختر الإعداد	Select the setting
Select the setting	اختر الإعداد
اختر الوضع	Select the mode
Select the mode	اختر الوضع
اختر المستوى	Select the level
Select the level	اختر المستوى
اختر المهمة	Select the task
Select the task	اختر المهمة
اختر الهدف	Select the target
Select the target	اختر الهدف
أكمل	Complete
Complete	أكمل
تابع	Continue
Continue	تابع
استمر	Continue
Continue	استمر
تقدم	Advance
Advance	تقدم
ارجع	Go back
Go back	ارجع
أعد المحاولة	Try again
Try again	أعد المحاولة
حاول مرة أخرى	Try again
Try again	حاول مرة أخرى
جرب هذا	Try this
Try this	جرب هذا
جرب طريقة أخرى	Try another method
Try another method	جرب طريقة أخرى
لا تستسلم	Don't give up
Don't give up	لا تستسلم
لا تقلق	Don't worry
Don't worry	لا تقلق
لا تخف	Don't be afraid
Don't be afraid	لا تخف
كن حذراً	Be careful
Be careful	كن حذراً
كن هادئاً	Be calm
Be calm	كن هادئاً
ابق هادئاً	Stay calm
Stay calm	ابق هادئاً
لا تتوتر	Don't be nervous
Don't be nervous	لا تتوتر
فكر قليلاً	Think a little
Think a little	فكر قليلاً
فكر جيداً	Think carefully
Think carefully	فكر جيداً
خذ وقتك	Take your time
Take your time	خذ وقتك
لا تتسرع	Don't rush
Don't rush	لا تتسرع
تصرف بسرعة	Act quickly
Act quickly	تصرف بسرعة
تصرف بحذر	Act with caution
Act with caution	تصرف بحذر
اتخذ قراراً	Make a decision
Make a decision	اتخذ قراراً
غير قرارك	Change your decision
Change your decision	غير قرارك
راجع قرارك	Review your decision
Review your decision	راجع قرارك
تأكد أولاً	Check first
Check first	تأكد أولاً
تحقق أولاً	Check first
Check first	تحقق أولاً
اسأل أولاً	Ask first
Ask first	اسأل أولاً
استمع أولاً	Listen first
Listen first	استمع أولاً
اقرأ أولاً	Read first
Read first	اقرأ أولاً
افهم الأمر	Understand it
Understand it	افهم الأمر
افهم ما يحدث	Understand what is happening
Understand what is happening	افهم ما يحدث
افهم المهمة	Understand the mission
Understand the mission	افهم المهمة
افهم التعليمات	Understand the instructions
Understand the instructions	افهم التعليمات
نفذ التعليمات	Execute the instructions
Execute the instructions	نفذ التعليمات
اتبع التعليمات	Follow the instructions
Follow the instructions	اتبع التعليمات
تجاهل التعليمات	Ignore instructions
Ignore instructions	تجاهل التعليمات
اقرأ الرسالة	Read the message
Read the message	اقرأ الرسالة
افتح الرسالة	Open the message
Open the message	افتح الرسالة
أغلق الرسالة	Close the message
Close the message	أغلق الرسالة
أرسل الرسالة	Send the message
Send the message	أرسل الرسالة
احذف الرسالة	Delete the message
Delete the message	احذف الرسالة
احفظ الرسالة	Save the message
Save the message	احفظ الرسالة
انسخ الرسالة	Copy the message
Copy the message	انسخ الرسالة
شارك الرسالة	Share the message
Share the message	شارك الرسالة
أعد الرسالة	Return the message
Return the message	أعد الرسالة
تم إرسالها	has been sent
has been sent	تم إرسالها
تم استلامها	received
received	تم استلامها
تم حفظها	has been saved
has been saved	تم حفظها
تم حذفها	has been deleted
has been deleted	تم حذفها
تم نسخها	has been copied
has been copied	تم نسخها
تم نقلها	has been moved
has been moved	تم نقلها
تم تعديلها	has been modified
has been modified	تم تعديلها
تم تحديثها	has been updated
has been updated	تم تحديثها
تم فتحها	has been opened
has been opened	تم فتحها
تم إغلاقها	has been closed
has been closed	تم إغلاقها
تم تشغيلها	has been turned on
has been turned on	تم تشغيلها
تم إيقافها	has been discontinued
has been discontinued	تم إيقافها
تم تحميلها	has been uploaded
has been uploaded	تم تحميلها
تم تنزيلها	downloaded
downloaded	تم تنزيلها
تم تثبيتها	has been installed
has been installed	تم تثبيتها
تم إزالتها	has been removed
has been removed	تم إزالتها
تم تغييرها	has been changed
has been changed	تم تغييرها
تم استعادتها	has been restored
has been restored	تم استعادتها
تم العثور عليها	has been found
has been found	تم العثور عليها
لم يتم العثور عليها	not found
not found	لم يتم العثور عليها
تعذر العثور عليها	could not be found
could not be found	تعذر العثور عليها
تعذر فتحها	could not be opened
could not be opened	تعذر فتحها
تعذر حفظها	could not be saved
could not be saved	تعذر حفظها
تعذر حذفها	could not be deleted
could not be deleted	تعذر حذفها
تعذر نقلها	could not be moved
could not be moved	تعذر نقلها
تعذر نسخها	could not be copied
could not be copied	تعذر نسخها
تعذر تعديلها	could not be modified
could not be modified	تعذر تعديلها
تعذر تحديثها	could not be updated
could not be updated	تعذر تحديثها
تعذر تحميلها	could not be downloaded
could not be downloaded	تعذر تحميلها
تعذر تثبيتها	could not be installed
could not be installed	تعذر تثبيتها
تعذر تشغيلها	could not be played
could not be played	تعذر تشغيلها
تعذر إيقافها	could not be stopped
could not be stopped	تعذر إيقافها
حدث خطأ	An error occurred
An error occurred	حدث خطأ
حدث خطأ غير متوقع	An unexpected error occurred
An unexpected error occurred	حدث خطأ غير متوقع
حدث خطأ أثناء العملية	An error occurred during the operation
An error occurred during the operation	حدث خطأ أثناء العملية
حدثت مشكلة	A problem has occurred
A problem has occurred	حدثت مشكلة
حدثت مشكلة بسيطة	A minor problem occurred
A minor problem occurred	حدثت مشكلة بسيطة
حدثت مشكلة كبيرة	A big problem has occurred
A big problem has occurred	حدثت مشكلة كبيرة
حدثت مشكلة في الملف	There was a problem with the file
There was a problem with the file	حدثت مشكلة في الملف
حدثت مشكلة في الاتصال	There was a connection problem
There was a connection problem	حدثت مشكلة في الاتصال
حدثت مشكلة في النظام	A problem occurred in the system
A problem occurred in the system	حدثت مشكلة في النظام
حدثت مشكلة في اللعبة	There was a problem with the game
There was a problem with the game	حدثت مشكلة في اللعبة
حدثت مشكلة في البيانات	A data problem occurred
A data problem occurred	حدثت مشكلة في البيانات
حاول مرة أخرى لاحقاً	Try again later
Try again later	حاول مرة أخرى لاحقاً
حاول بعد قليل	Try again soon
Try again soon	حاول بعد قليل
أعد تشغيل التطبيق	Restart the application
Restart the application	أعد تشغيل التطبيق
أعد تشغيل اللعبة	Restart the game
Restart the game	أعد تشغيل اللعبة
أعد تشغيل الجهاز	Restart the device
Restart the device	أعد تشغيل الجهاز
أعد فتح التطبيق	Reopen the application
Reopen the application	أعد فتح التطبيق
أعد فتح الملف	Reopen the file
Reopen the file	أعد فتح الملف
أعد تحميل الصفحة	Reload the page
Reload the page	أعد تحميل الصفحة
أعد تحميل البيانات	Reload the data
Reload the data	أعد تحميل البيانات
أعد الاتصال	Reconnect
Reconnect	أعد الاتصال
تحقق من الاتصال	Check the connection
Check the connection	تحقق من الاتصال
تحقق من الشبكة	Check the network
Check the network	تحقق من الشبكة
تحقق من الإنترنت	Check the Internet
Check the Internet	تحقق من الإنترنت
تحقق من المساحة	Check the space
Check the space	تحقق من المساحة
تحقق من الملف	Check the file
Check the file	تحقق من الملف
تحقق من المجلد	Check the folder
Check the folder	تحقق من المجلد
تحقق من الإعدادات	Check the settings
Check the settings	تحقق من الإعدادات
تحقق من النسخة	Check the version
Check the version	تحقق من النسخة
تحقق من الإصدار	Check version
Check version	تحقق من الإصدار
تحقق من اللغة	Check the language
Check the language	تحقق من اللغة
تحقق من البيانات	Verify the data
Verify the data	تحقق من البيانات
كل شيء جاهز	Everything is ready
Everything is ready	كل شيء جاهز
كل شيء يعمل	Everything works
Everything works	كل شيء يعمل
كل شيء على ما يرام	Everything is fine
Everything is fine	كل شيء على ما يرام
كل شيء بخير	Everything is fine
Everything is fine	كل شيء بخير
لا توجد مشكلة	No problem
No problem	لا توجد مشكلة
لا توجد أخطاء	There are no errors
There are no errors	لا توجد أخطاء
لا يوجد شيء	There is nothing
There is nothing	لا يوجد شيء
لا يوجد وقت	There is no time
There is no time	لا يوجد وقت
لا يوجد مكان	There is no place
There is no place	لا يوجد مكان
لا يوجد اتصال	No connection
No connection	لا يوجد اتصال
لا يوجد ملف	No file found
No file found	لا يوجد ملف
لا يوجد مجلد	There is no folder
There is no folder	لا يوجد مجلد
لا توجد بيانات	No data
No data	لا توجد بيانات
لا توجد نتيجة	No result found
No result found	لا توجد نتيجة
لا توجد خيارات	There are no options
There are no options	لا توجد خيارات
لا توجد عناصر	There are no items
There are no items	لا توجد عناصر
لا توجد رسائل	There are no messages
There are no messages	لا توجد رسائل
لا توجد مهام	There are no tasks
There are no tasks	لا توجد مهام
لا توجد تحديثات	There are no updates
There are no updates	لا توجد تحديثات
لا توجد معلومات	No information
No information	لا توجد معلومات
هناك شيء جديد	There's something new
There's something new	هناك شيء جديد
هناك مشكلة	There is a problem
There is a problem	هناك مشكلة
هناك خطأ	There is an error
There is an error	هناك خطأ
هناك ملف جديد	There is a new file
There is a new file	هناك ملف جديد
هناك تحديث جديد	There is a new update
There is a new update	هناك تحديث جديد
هناك رسالة جديدة	There is a new message
There is a new message	هناك رسالة جديدة
هناك مهمة جديدة	There is a new mission
There is a new mission	هناك مهمة جديدة
هناك هدف جديد	There is a new target
There is a new target	هناك هدف جديد
هناك خيار جديد	There is a new option
There is a new option	هناك خيار جديد
هناك نتيجة جديدة	There is a new result
There is a new result	هناك نتيجة جديدة
هناك عنصر جديد	There is a new item
There is a new item	هناك عنصر جديد
هناك معلومات جديدة	There is new information
There is new information	هناك معلومات جديدة
هذا صحيح	That's right
That's right	هذا صحيح
هذا خطأ	This is an error
This is an error	هذا خطأ
هذا مناسب	This is appropriate
This is appropriate	هذا مناسب
هذا غير مناسب	This is inappropriate
This is inappropriate	هذا غير مناسب
هذا ممكن	This is possible
This is possible	هذا ممكن
هذا غير ممكن	This is not possible
This is not possible	هذا غير ممكن
هذا متاح	This is available
This is available	هذا متاح
هذا غير متاح	This is not available
This is not available	هذا غير متاح
هذا مهم	This is important
This is important	هذا مهم
هذا غير مهم	This doesn't matter
This doesn't matter	هذا غير مهم
هذا ضروري	This is necessary
This is necessary	هذا ضروري
هذا اختياري	This is optional
This is optional	هذا اختياري
هذا كاف	That's enough
That's enough	هذا كاف
هذا غير كاف	This is not enough
This is not enough	هذا غير كاف
هذا أفضل	This is better
This is better	هذا أفضل
هذا أسوأ	This is worse
This is worse	هذا أسوأ
هذا سهل	That's easy
That's easy	هذا سهل
هذا صعب	This is difficult
This is difficult	هذا صعب
هذا بسيط	This is simple
This is simple	هذا بسيط
هذا معقد	This is complicated
This is complicated	هذا معقد
هذا واضح	This is clear
This is clear	هذا واضح
هذا غير واضح	This is not clear
This is not clear	هذا غير واضح
هذا آمن	This is safe
This is safe	هذا آمن
هذا خطير	This is dangerous
This is dangerous	هذا خطير
هذا قريب	That's close
That's close	هذا قريب
هذا بعيد	This is far
This is far	هذا بعيد
هذا كبير	This is big
This is big	هذا كبير
هذا صغير	This is small
This is small	هذا صغير
هذا جديد	This is new
This is new	هذا جديد
هذا قديم	This is old
This is old	هذا قديم
هذا سريع	That's fast
That's fast	هذا سريع
هذا بطيء	This is slow
This is slow	هذا بطيء
هذا صحيح تماماً	This is absolutely true
This is absolutely true	هذا صحيح تماماً
هذا ليس صحيحاً	This is not true
This is not true	هذا ليس صحيحاً
هذا ما أريده	This is what I want
This is what I want	هذا ما أريده
هذا ما أحتاجه	This is what I need
This is what I need	هذا ما أحتاجه
هذا ما تبحث عنه	This is what you are looking for
This is what you are looking for	هذا ما تبحث عنه
هذا ما حدث	This is what happened
This is what happened	هذا ما حدث
هذا كل شيء	That's it
That's it	هذا كل شيء
هذا ليس كل شيء	That's not all
That's not all	هذا ليس كل شيء
هذا يكفي	That's enough
That's enough	هذا يكفي
هذا لا يكفي	This is not enough
This is not enough	هذا لا يكفي
هذه هي المشكلة	This is the problem
This is the problem	هذه هي المشكلة
هذه هي الإجابة	This is the answer
This is the answer	هذه هي الإجابة
هذه هي الطريقة	This is the way
This is the way	هذه هي الطريقة
هذه هي النتيجة	This is the result
This is the result	هذه هي النتيجة
هذه هي الخطوة	This is the step
This is the step	هذه هي الخطوة
هذه هي المهمة	This is the mission
This is the mission	هذه هي المهمة
هذه هي الخطة	This is the plan
This is the plan	هذه هي الخطة
هذه هي القائمة	This is the list
This is the list	هذه هي القائمة
هذه هي الصفحة	This is the page
This is the page	هذه هي الصفحة
هذه هي اللعبة	This is the game
This is the game	هذه هي اللعبة
هذه هي النسخة	This is the version
This is the version	هذه هي النسخة
هذه هي اللغة	This is the language
This is the language	هذه هي اللغة
هذه هي الترجمة	This is the translation
This is the translation	هذه هي الترجمة
هذا هو الملف	This is the file
This is the file	هذا هو الملف
هذا هو المجلد	This is the folder
This is the folder	هذا هو المجلد
هذا هو الخيار	This is the option
This is the option	هذا هو الخيار
هذا هو الهدف	This is the goal
This is the goal	هذا هو الهدف
هذا هو المكان	This is the place
This is the place	هذا هو المكان
هذا هو الطريق	This is the way
This is the way	هذا هو الطريق
هذا هو السبب	This is why
This is why	هذا هو السبب
هذا هو الحل	This is the solution
This is the solution	هذا هو الحل
هذا هو المطلوب	This is what is required
This is what is required	هذا هو المطلوب
ما الذي حدث	What happened?
What happened?	ما الذي حدث
ماذا حدث هنا	What happened here
What happened here	ماذا حدث هنا
ماذا تريد	What do you want?
What do you want?	ماذا تريد
ماذا تحتاج	What do you need?
What do you need?	ماذا تحتاج
ماذا تفعل	What are you doing?
What are you doing?	ماذا تفعل
ماذا تفعل هنا	What are you doing here?
What are you doing here?	ماذا تفعل هنا
ماذا تفعل الآن	What are you doing now?
What are you doing now?	ماذا تفعل الآن
ماذا تريد مني	What do you want from me?
What do you want from me?	ماذا تريد مني
ماذا تريد أن تفعل	What do you want to do?
What do you want to do?	ماذا تريد أن تفعل
ماذا يجب أن أفعل	What should I do?
What should I do?	ماذا يجب أن أفعل
ماذا يجب أن نفعل	What should we do?
What should we do?	ماذا يجب أن نفعل
ماذا يحدث	What's happening?
What's happening?	ماذا يحدث
ما المشكلة	What's the problem?
What's the problem?	ما المشكلة
ما السبب	Why?
Why?	ما السبب
ما الحل	What is the solution?
What is the solution?	ما الحل
ما الخيار الأفضل	What is the best option?
What is the best option?	ما الخيار الأفضل
ما الطريق الصحيح	What is the correct path?
What is the correct path?	ما الطريق الصحيح
ما الخطوة التالية	What's the next step?
What's the next step?	ما الخطوة التالية
ما الذي يجب تغييره	What needs to be changed
What needs to be changed	ما الذي يجب تغييره
ما الذي يجب حذفه	What should be deleted
What should be deleted	ما الذي يجب حذفه
ما الذي يجب حفظه	What should be saved
What should be saved	ما الذي يجب حفظه
ما الذي يجب فتحه	What to open
What to open	ما الذي يجب فتحه
ما الذي يجب إغلاقه	What should be closed
What should be closed	ما الذي يجب إغلاقه
من أنت	Who are you?
Who are you?	من أنت
من هذا	of this
of this	من هذا
من هناك	From there
From there	من هناك
من فعل ذلك	Who did that?
Who did that?	من فعل ذلك
من أرسل الرسالة	Who sent the message
Who sent the message	من أرسل الرسالة
من يحتاج إلى المساعدة	Who needs help
Who needs help	من يحتاج إلى المساعدة
أين أنت	Where are you?
Where are you?	أين أنت
أين هو	Where is he?
Where is he?	أين هو
أين هي	Where is she?
Where is she?	أين هي
أين هم	Where are they?
Where are they?	أين هم
أين المكان	Where is the place?
Where is the place?	أين المكان
أين الملف	Where is the file?
Where is the file?	أين الملف
أين المجلد	Where is the folder?
Where is the folder?	أين المجلد
أين اللعبة	Where is the game?
Where is the game?	أين اللعبة
أين الإعدادات	Where are the settings?
Where are the settings?	أين الإعدادات
أين الخيار	Where is the option?
Where is the option?	أين الخيار
أين الطريق	Where is the road?
Where is the road?	أين الطريق
أين أذهب	Where do I go?
Where do I go?	أين أذهب
إلى أين نذهب	Where are we going?
Where are we going?	إلى أين نذهب
متى نبدأ	When do we start?
When do we start?	متى نبدأ
متى نصل	When will we arrive?
When will we arrive?	متى نصل
متى ينتهي	When will it end?
When will it end?	متى ينتهي
متى يعود	When will he return?
When will he return?	متى يعود
متى يبدأ	When does it start?
When does it start?	متى يبدأ
متى يتوقف	When will it stop?
When will it stop?	متى يتوقف
لماذا حدث ذلك	Why did this happen?
Why did this happen?	لماذا حدث ذلك
لماذا فعلت ذلك	Why did you do that?
Why did you do that?	لماذا فعلت ذلك
لماذا توقف	Why did he stop?
Why did he stop?	لماذا توقف
لماذا لا يعمل	Why is it not working?
Why is it not working?	لماذا لا يعمل
لماذا لا يظهر	Why does it not appear?
Why does it not appear?	لماذا لا يظهر
لماذا اختفى	Why did he disappear?
Why did he disappear?	لماذا اختفى
لماذا تغير	Why did it change?
Why did it change?	لماذا تغير
كيف حدث ذلك	How did that happen?
How did that happen?	كيف حدث ذلك
كيف أفعل ذلك	How do I do that?
How do I do that?	كيف أفعل ذلك
كيف أبدأ	How do I start?
How do I start?	كيف أبدأ
كيف أتوقف	How do I stop?
How do I stop?	كيف أتوقف
كيف أفتح	How do I open
How do I open	كيف أفتح
كيف أغلق	How do I close?
How do I close?	كيف أغلق
كيف أحفظ	How do I save?
How do I save?	كيف أحفظ
كيف أحذف	How do I delete
How do I delete	كيف أحذف
كيف أنقل	How do I transfer?
How do I transfer?	كيف أنقل
كيف أنسخ	How do I copy?
How do I copy?	كيف أنسخ
كيف أعدل	How do I edit?
How do I edit?	كيف أعدل
كيف أغير	How do I change
How do I change	كيف أغير
كيف أستعيد	How do I recover
How do I recover	كيف أستعيد
كيف أبحث	How do I search?
How do I search?	كيف أبحث
كيف أجد	How do I find
How do I find	كيف أجد
كيف أختار	How do I choose?
How do I choose?	كيف أختار
كيف أستخدمه	How do I use it?
How do I use it?	كيف أستخدمه
كيف يعمل	How it works
How it works	كيف يعمل
كيف أصل إلى هناك	How do I get there?
How do I get there?	كيف أصل إلى هناك
كيف أعود	How do I return?
How do I return?	كيف أعود
كيف نبدأ	How do we start?
How do we start?	كيف نبدأ
كيف نحل المشكلة	How to solve the problem
How to solve the problem	كيف نحل المشكلة
هل أنت جاهز	Are you ready?
Are you ready?	هل أنت جاهز
هل أنت متأكد	Are you sure?
Are you sure?	هل أنت متأكد
هل هذا صحيح	Is this true?
Is this true?	هل هذا صحيح
هل هذا آمن	Is this safe?
Is this safe?	هل هذا آمن
هل هذا متاح	Is this available?
Is this available?	هل هذا متاح
هل هذا ممكن	Is this possible?
